,date,county,state,fips,cases,deaths
97144,2021-03-28,Lexington city,Virginia,51678,1150,31
97148,2021-03-28,Lynchburg city,Virginia,51680,7150,141
97151,2021-03-28,Manassas city,Virginia,51683,4152,45
97150,2021-03-28,Manassas Park city,Virginia,51685,1167,12
97152,2021-03-28,Martinsville city,Virginia,51690,1551,72
97159,2021-03-28,Newport News city,Virginia,51700,12564,208
97160,2021-03-28,Norfolk city,Virginia,51710,16018,235
97163,2021-03-28,Norton city,Virginia,51720,248,6
97168,2021-03-28,Petersburg city,Virginia,51730,3487,76
97170,2021-03-28,Poquoson city,Virginia,51735,794,16
97171,2021-03-28,Portsmouth city,Virginia,51740,8287,169
97177,2021-03-28,Radford city,Virginia,51750,2003,18
97180,2021-03-28,Richmond city,Virginia,51760,15623,242
97182,2021-03-28,Roanoke city,Virginia,51770,7960,177
97186,2021-03-28,Salem city,Virginia,51775,1983,44
97193,2021-03-28,Staunton city,Virginia,51790,2526,66
97194,2021-03-28,Suffolk city,Virginia,51800,7348,174
97198,2021-03-28,Virginia Beach city,Virginia,51810,32971,359
97201,2021-03-28,Waynesboro city,Virginia,51820,2241,34
97203,2021-03-28,Williamsburg city,Virginia,51830,644,11
97204,2021-03-28,Winchester city,Virginia,51840,2645,41
