,0,1,2,3,4
21300,2021-03-25,Alabama,01,513138,10504
21301,2021-03-25,Alaska,02,61558,299
21302,2021-03-25,Arizona,04,837987,16874
21303,2021-03-25,Arkansas,05,329511,5571
21304,2021-03-25,California,06,3653318,58386
21305,2021-03-25,Colorado,08,457010,6161
21306,2021-03-25,Connecticut,09,303510,7862
21307,2021-03-25,Delaware,10,93038,1536
21308,2021-03-25,District of Columbia,11,43669,1053
21309,2021-03-25,Florida,12,2027421,32956
21310,2021-03-25,Georgia,13,1026632,18181
21312,2021-03-25,Hawaii,15,29120,455
21313,2021-03-25,Idaho,16,179009,1957
21314,2021-03-25,Illinois,17,1233417,23442
21315,2021-03-25,Indiana,18,684281,12982
21316,2021-03-25,Iowa,19,348492,5708
21317,2021-03-25,Kansas,20,303267,4881
21318,2021-03-25,Kentucky,21,427004,6004
21319,2021-03-25,Louisiana,22,442620,10073
21320,2021-03-25,Maine,23,49190,731
21321,2021-03-25,Maryland,24,404167,8217
21322,2021-03-25,Massachusetts,25,622226,17010
21323,2021-03-25,Michigan,26,712194,16994
21324,2021-03-25,Minnesota,27,510476,6892
21325,2021-03-25,Mississippi,28,303942,6987
21326,2021-03-25,Missouri,29,581612,8903
21327,2021-03-25,Montana,30,103961,1435
21328,2021-03-25,Nebraska,31,207938,2280
21329,2021-03-25,Nevada,32,302209,5215
21330,2021-03-25,New Hampshire,33,82039,1229
21331,2021-03-25,New Jersey,34,881880,24330
21332,2021-03-25,New Mexico,35,190491,3918
21333,2021-03-25,New York,36,1823602,49305
21334,2021-03-25,North Carolina,37,908868,12025
21335,2021-03-25,North Dakota,38,102230,1497
21337,2021-03-25,Ohio,39,1006171,18382
21338,2021-03-25,Oklahoma,40,436504,4850
21339,2021-03-25,Oregon,41,162878,2381
21340,2021-03-25,Pennsylvania,42,1005504,24972
21342,2021-03-25,Rhode Island,44,135290,2607
21343,2021-03-25,South Carolina,45,545254,9083
21344,2021-03-25,South Dakota,46,116624,1927
21345,2021-03-25,Tennessee,47,791437,11692
21346,2021-03-25,Texas,48,2771966,47993
21347,2021-03-25,Utah,49,383260,2089
21348,2021-03-25,Vermont,50,18215,223
21350,2021-03-25,Virginia,51,610263,10147
21351,2021-03-25,Washington,53,361300,5286
21352,2021-03-25,West Virginia,54,139251,2624
21353,2021-03-25,Wisconsin,55,632331,7268
21354,2021-03-25,Wyoming,56,55920,695
21311,2021-03-25,Guam,66,8763,135
21336,2021-03-25,Northern Mariana Islands,69,159,2
21341,2021-03-25,Puerto Rico,72,138841,2106
21349,2021-03-25,Virgin Islands,78,2877,25
