,0,1,2,3,4,5
97135,2021-03-25,Lexington city,Virginia,51678,1151,31
97139,2021-03-25,Lynchburg city,Virginia,51680,7089,141
97142,2021-03-25,Manassas city,Virginia,51683,4131,45
97141,2021-03-25,Manassas Park city,Virginia,51685,1166,12
97143,2021-03-25,Martinsville city,Virginia,51690,1540,71
97150,2021-03-25,Newport News city,Virginia,51700,12400,204
97151,2021-03-25,Norfolk city,Virginia,51710,15870,234
97154,2021-03-25,Norton city,Virginia,51720,248,6
97159,2021-03-25,Petersburg city,Virginia,51730,3451,74
97161,2021-03-25,Poquoson city,Virginia,51735,787,16
97162,2021-03-25,Portsmouth city,Virginia,51740,8215,165
97168,2021-03-25,Radford city,Virginia,51750,1985,18
97171,2021-03-25,Richmond city,Virginia,51760,15478,241
97173,2021-03-25,Roanoke city,Virginia,51770,7908,177
97177,2021-03-25,Salem city,Virginia,51775,1964,44
97184,2021-03-25,Staunton city,Virginia,51790,2512,66
97185,2021-03-25,Suffolk city,Virginia,51800,7282,174
97189,2021-03-25,Virginia Beach city,Virginia,51810,32681,358
97192,2021-03-25,Waynesboro city,Virginia,51820,2224,34
97194,2021-03-25,Williamsburg city,Virginia,51830,605,11
97195,2021-03-25,Winchester city,Virginia,51840,2621,41
