,0,1,2,3,4
20750,2021-03-15,Alabama,01,508229,10329
20751,2021-03-15,Alaska,02,60174,292
20752,2021-03-15,Arizona,04,833391,16553
20753,2021-03-15,Arkansas,05,327060,5481
20754,2021-03-15,California,06,3626304,56606
20755,2021-03-15,Colorado,08,446827,6121
20756,2021-03-15,Connecticut,09,293102,7788
20757,2021-03-15,Delaware,10,90614,1511
20758,2021-03-15,District of Columbia,11,42623,1042
20759,2021-03-15,Florida,12,1979626,32347
20760,2021-03-15,Georgia,13,1009499,17710
20762,2021-03-15,Hawaii,15,28312,448
20763,2021-03-15,Idaho,16,175774,1918
20764,2021-03-15,Illinois,17,1213763,23216
20765,2021-03-15,Indiana,18,676235,12864
20766,2021-03-15,Iowa,19,343303,5643
20767,2021-03-15,Kansas,20,301134,4835
20768,2021-03-15,Kentucky,21,420010,5147
20769,2021-03-15,Louisiana,22,437565,9903
20770,2021-03-15,Maine,23,47199,725
20771,2021-03-15,Maryland,24,394240,8055
20772,2021-03-15,Massachusetts,25,603464,16673
20773,2021-03-15,Michigan,26,673661,16770
20774,2021-03-15,Minnesota,27,498286,6815
20775,2021-03-15,Mississippi,28,300881,6903
20776,2021-03-15,Missouri,29,574951,8771
20777,2021-03-15,Montana,30,102055,1394
20778,2021-03-15,Nebraska,31,205440,2236
20779,2021-03-15,Nevada,32,299530,5121
20780,2021-03-15,New Hampshire,33,78813,1199
20781,2021-03-15,New Jersey,34,840846,23925
20782,2021-03-15,New Mexico,35,188488,3855
20783,2021-03-15,New York,36,1748739,48537
20784,2021-03-15,North Carolina,37,890709,11739
20785,2021-03-15,North Dakota,38,101032,1488
20787,2021-03-15,Ohio,39,990340,17871
20788,2021-03-15,Oklahoma,40,432793,4701
20789,2021-03-15,Oregon,41,159872,2333
20790,2021-03-15,Pennsylvania,42,972772,24630
20792,2021-03-15,Rhode Island,44,131487,2576
20793,2021-03-15,South Carolina,45,534188,8878
20794,2021-03-15,South Dakota,46,114649,1912
20795,2021-03-15,Tennessee,47,778768,11535
20796,2021-03-15,Texas,48,2732352,46694
20797,2021-03-15,Utah,49,378658,2027
20798,2021-03-15,Vermont,50,16992,214
20800,2021-03-15,Virginia,51,595865,10060
20801,2021-03-15,Washington,53,353344,5192
20802,2021-03-15,West Virginia,54,135678,2531
20803,2021-03-15,Wisconsin,55,625888,7179
20804,2021-03-15,Wyoming,56,55327,691
20761,2021-03-15,Guam,66,8742,135
20786,2021-03-15,Northern Mariana Islands,69,154,2
20791,2021-03-15,Puerto Rico,72,136826,2081
20799,2021-03-15,Virgin Islands,78,2767,25
