,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,pop,density,date,never,Rarely,Sometimes,Frequently,Always
284,Minnesota,27,483046,6530,12230,0.6283728536385936,0.8953393295175798,2021-03-27,5706400,71.6641,2021-04-04,0.10319540229885055,0.12233333333333338,0.1557011494252874,0.24312643678160933,0.375528735632184
285,Minnesota,27,481899,6518,12275,0.5989409368635438,0.8675356415478616,2021-03-26,5706400,71.6641,2021-04-04,0.10319540229885055,0.12233333333333338,0.1557011494252874,0.24312643678160933,0.375528735632184
286,Minnesota,27,480913,6511,12168,0.5710880999342538,0.8584812623274162,2021-03-25,5706400,71.6641,2021-04-04,0.10319540229885055,0.12233333333333338,0.1557011494252874,0.24312643678160933,0.375528735632184
287,Minnesota,27,480159,6502,12017,0.5673629025547141,0.8001165016227012,2021-03-24,5706400,71.6641,2021-04-04,0.10319540229885055,0.12233333333333338,0.1557011494252874,0.24312643678160933,0.375528735632184
288,Mississippi,28,297321,6805,5356,0.3254294249439881,0.31142643764002986,2021-04-04,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
289,Mississippi,28,296745,6783,5571,0.3399748698617842,0.31969125830192063,2021-04-03,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
290,Mississippi,28,296154,6764,5770,0.34974003466204506,0.3048526863084922,2021-04-02,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
291,Mississippi,28,295675,6743,5927,0.34131938586131266,0.30234519993251224,2021-04-01,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
292,Mississippi,28,295295,6724,5955,0.33383711167086483,0.3204030226700252,2021-03-31,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
293,Mississippi,28,294994,6681,5887,0.34839476813317477,0.3271615423815186,2021-03-30,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
294,Mississippi,28,294795,6681,5985,0.3436925647451963,0.31044277360066835,2021-03-29,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
295,Mississippi,28,294091,6669,6486,0.32377428307123035,0.2989515880357693,2021-03-28,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
296,Mississippi,28,293542,6638,6345,0.38282111899133175,0.33159968479117413,2021-03-27,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
297,Mississippi,28,292811,6613,6313,0.44352922540788847,0.36210993188658325,2021-03-26,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
298,Mississippi,28,291891,6605,6554,0.4816905706438816,0.35703387244430884,2021-03-25,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
299,Mississippi,28,291222,6577,6786,0.47774830533451224,0.34998526377836725,2021-03-24,2966410,63.2187,2021-04-04,0.06781707317073168,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877
300,Missouri,29,520111,8606,58149,0.08485098625943696,0.07590844210562521,2021-04-04,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
301,Missouri,29,519653,8599,58062,0.08516757948399986,0.07722779098205367,2021-04-03,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
302,Missouri,29,519108,8571,57962,0.07836168524205514,0.08664297298229874,2021-04-02,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
303,Missouri,29,518530,8565,57833,0.06989089274289766,0.0943406013867515,2021-04-01,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
304,Missouri,29,518029,8402,57539,0.07035228279949252,0.09723839482785589,2021-03-31,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
305,Missouri,29,517597,8385,57354,0.07106740593506991,0.09563413188269344,2021-03-30,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
306,Missouri,29,517071,8382,57725,0.06653962754439151,0.0917453443048939,2021-03-29,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
307,Missouri,29,516796,8383,57590,0.0672686230248307,0.09150894252474388,2021-03-28,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
308,Missouri,29,516429,8371,57322,0.0691532047032553,0.09558284777223405,2021-03-27,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
309,Missouri,29,515808,8355,57064,0.07356652180008412,0.09796018505537642,2021-03-26,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
310,Missouri,29,515159,8316,56989,0.073961641720332,0.09210549404271,2021-03-25,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
311,Missouri,29,514394,8284,57038,0.0725130614677934,0.08480311371366457,2021-03-24,6169040,89.7419,2021-04-04,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478256,0.3765565217391304
312,Montana,30,100925,1382,2117,0.5276334435521965,0.4681152574397733,2021-04-04,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
313,Montana,30,100798,1381,2102,0.5742150333016175,0.4686013320647003,2021-04-03,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
314,Montana,30,100640,1377,2096,0.5844465648854962,0.49188931297709926,2021-04-02,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
315,Montana,30,100469,1374,2133,0.559774964838256,0.5011720581340835,2021-04-01,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
316,Montana,30,100272,1373,2197,0.5052344105598543,0.4997724169321802,2021-03-31,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
317,Montana,30,100115,1358,1940,0.6041237113402061,0.6335051546391752,2021-03-30,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
318,Montana,30,99999,1358,1836,0.6949891067538126,0.6437908496732027,2021-03-29,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
319,Montana,30,99920,1357,1881,0.6597554492291334,0.6071238702817651,2021-03-28,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
320,Montana,30,99732,1357,1951,0.6237826755509995,0.6453100973859559,2021-03-27,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
321,Montana,30,99566,1351,1995,0.5889724310776943,0.687218045112782,2021-03-26,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
322,Montana,30,99363,1349,2011,0.6106414719045251,0.6757831924415714,2021-03-25,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
323,Montana,30,99161,1347,2068,0.5996131528046421,0.6416827852998066,2021-03-24,1085000,7.4547,2021-04-04,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437
324,Nebraska,31,203084,2223,3601,0.5615106914745904,0.9050263815606776,2021-04-04,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
325,Nebraska,31,202871,2222,3599,0.48430119477632677,0.9774937482634065,2021-04-03,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
