,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
479,Georgia,13,434916,8972,53309,0.7303082031176724,0.8280778105010411,10830000,188.3053
480,Hawaii,15,17405,231,1254,0.6618819776714514,0.74481658692185,1406430,218.9678
481,Idaho,16,93602,869,18831,0.5441028091975997,0.4667303913759227,1860120,22.5079
482,Illinois,17,665865,12141,131924,0.45534550195567147,0.3718580394772748,12569300,226.3964
483,Indiana,18,303575,5332,86473,0.49950851710938676,0.4380789379343841,6805660,189.9643
484,Iowa,19,214792,2222,31193,0.3499823678389382,0.3793799891001186,3167970,56.7157
485,Kansas,20,144831,1462,32558,0.4828306407027459,0.4553105227593833,2917220,35.6807
486,Kentucky,21,163767,1906,43276,0.49969960255106755,0.4292217395323043,4480710,113.4759
487,Louisiana,22,221160,6284,30976,0.5651794938016529,0.5687629132231405,4627000,107.0966
488,Maine,23,10544,177,3231,0.7966573816155988,0.9086969978334881,1354520,43.9166
489,Maryland,24,184140,4448,33507,0.583997373683111,0.4813919479511744,6065440,624.8522
490,Massachusetts,25,208623,10531,50702,0.6884541043745809,0.6536823005009664,6912240,886.1846
491,Michigan,26,340223,8937,95458,0.38220997716273125,0.2964130821932159,9992430,176.7352
492,Minnesota,27,276556,3321,79655,0.3225032954616785,0.2193208210407382,5706400,71.6641
493,Mississippi,28,143879,3676,22315,0.6677571140488461,0.6455299126148331,2966410,63.2187
494,Missouri,29,288308,3697,53936,0.4684440818748146,0.42646840700088995,6169040,89.7419
495,Montana,30,56428,615,12223,0.38493004990591506,0.3354331997054733,1085000,7.4547
496,Nebraska,31,116434,962,25484,0.32977554544027626,0.30595667870036103,1952000,25.4087
497,Nevada,32,136672,2030,34487,0.5406674978977586,0.47525154406008063,3185790,29.0195
498,New Hampshire,33,18042,512,7774,0.7793928479547209,0.7091587342423463,1372200,153.2671
499,New Jersey,34,311400,16772,62015,0.5466580665967911,0.4894783520116101,8874520,1206.7609
500,New Mexico,35,84148,1402,25799,0.44001705492460946,0.3685801775262607,2105000,17.354
501,New York,36,606878,33804,112113,0.6317197827192208,0.6336553298903784,19300000,409.5404
502,North Carolina,37,339672,5076,60124,0.6973088949504358,0.7117290932073714,10701000,220.1037
503,North Dakota,38,73403,852,9945,0.4751131221719457,0.2065359477124183,770026,11.1596
504,Ohio,39,363304,6020,120993,0.7133057284305704,0.48558181051796384,11714600,286.6939
505,Oklahoma,40,177874,1649,40515,0.5276564235468345,0.5841540170307293,3990440,58.1739
506,Oregon,41,66334,830,19469,0.47454928347629566,0.45395243720786893,4289440,44.6873
507,Pennsylvania,42,320250,9932,112160,0.650962910128388,0.5705331669044222,12804100,286.1699
508,Rhode Island,44,50573,1309,15245,0.541357822236799,0.40406690718268284,3194370,923.4952
509,South Carolina,45,207552,4288,27100,0.7425830258302583,0.7733210332103321,1061510,1026.6054
510,South Dakota,46,73848,819,12652,0.38365475814100536,0.29402466013278533,5277830,175.5707
511,Tennessee,47,337637,4254,61686,0.8616703952274422,1.0159355445319846,896581,11.8265
512,Texas,48,1184041,21144,177335,0.7470662869709871,0.6557306792229396,6944260,168.4069
513,Utah,49,179420,799,38218,0.477105029043906,0.4424878329582919,29730300,113.808
514,Vermont,50,3714,63,1366,0.568814055636896,0.4956076134699854,3310770,40.2917
515,Virginia,51,221038,3942,37832,0.6946235990695707,0.6804028335800381,623251,67.6197
516,Washington,53,155336,2775,36132,0.5777150448356028,0.5064762537363002,8603980,217.8774
517,West Virginia,54,41114,667,15014,0.5505528173704543,0.5956440655388304,7796940,117.3248
518,Wisconsin,55,379693,3175,63722,0.43736856972474186,0.362009980854336,1767860,73.5444
519,Wyoming,56,29431,202,7554,0.369340746624305,0.31016679904686256,5852490,108.0633
520,Puerto Rico,72,81815,1032,9422,0.5691997452770112,0.6223731691785184,581075,5.9847
1,Alabama,01,491849,9869,10862,0.7243601546676487,0.2762842938685325,4934190,97.427
2,Alaska,02,57846,279,1950,0.45487179487179485,0.5441025641025641,724357,1.2694
3,Arizona,04,815345,15897,16487,0.1955480075210772,0.21240977740037606,7520100,66.2016
4,Arkansas,05,318638,5407,7861,0.22567103421956494,0.18089301615570538,3033950,58.3059
5,California,06,3561560,51794,55796,0.3792207326690085,0.3257939637249982,39613500,254.2929
6,Colorado,08,428475,6023,15367,0.42343983861521445,0.5047829765081018,5893630,56.8653
7,Connecticut,09,279946,7622,10631,0.575110525820713,0.8013357163013828,3552820,733.7505
8,Delaware,10,86098,1418,3813,0.45213742460005246,0.44322056123787046,990334,508.1242
9,District of Columbia,11,40284,1009,1998,0.3763763763763764,0.3958958958958959,714153,11707.4262
10,Florida,12,1898215,30623,69642,0.45076247092271904,0.487091123172798,21944600,409.2233
11,Georgia,13,976400,16682,30119,0.3517713071483117,0.37627411268634414,10830000,188.3053
12,Hawaii,15,27320,434,836,0.6244019138755981,0.7703349282296651,1406430,218.9678
13,Idaho,16,171071,1862,3997,0.5564173129847385,0.5056292219164373,1860120,22.5079
14,Illinois,17,1186993,22675,22854,0.5336483766517897,0.6338058983110177,12569300,226.3964
15,Indiana,18,663282,12531,11011,0.4755244755244755,0.5315593497411679,6805660,189.9643
16,Iowa,19,335840,5463,6503,0.45532831001076424,0.5768107027525757,3167970,56.7157
17,Kansas,20,296798,4735,3900,0.391025641025641,0.3812820512820513,2917220,35.6807
18,Kentucky,21,406795,4746,11745,0.4222222222222222,0.3534269902085994,4480710,113.4759
19,Louisiana,22,428592,9587,7890,0.41254752851711024,0.4223067173637516,4627000,107.0966
20,Maine,23,44295,701,2355,0.6029723991507431,0.5830148619957537,1354520,43.9166
21,Maryland,24,380618,7838,11044,0.5814016660630207,0.6741216950380297,6065440,624.8522
22,Massachusetts,25,577980,16024,20879,0.556635854207577,0.6947171799415681,6912240,886.1846
23,Michigan,26,644046,16429,23753,0.8337473161284891,1.2873742264135057,9992430,176.7352
24,Minnesota,27,483046,6530,12230,0.6283728536385936,0.7533932951757972,5706400,71.6641
25,Mississippi,28,293542,6638,6345,0.38282111899133175,0.29850275807722615,2966410,63.2187
26,Missouri,29,516429,8371,57322,0.0691532047032553,0.0862670527895049,6169040,89.7419
27,Montana,30,99732,1357,1951,0.6237826755509995,0.6186570989236289,1085000,7.4547
28,Nebraska,31,200866,2195,3856,0.4533195020746888,0.4520228215767635,1952000,25.4087
29,Nevada,32,293165,4942,5554,0.3583003240907454,0.3503781058696435,3185790,29.0195
30,New Hampshire,33,74893,1167,3181,0.6042125117887457,0.7475636592266582,1372200,153.2671
31,New Jersey,34,782829,23192,48018,0.5600399850056229,0.6193510766795784,8874520,1206.7609
32,New Mexico,35,184736,3687,3248,0.42795566502463056,0.4131773399014778,2105000,17.354
33,New York,36,1628255,46914,100645,0.4344378757017239,0.5860301058174773,19300000,409.5404
34,North Carolina,37,860311,11216,26471,0.4430508858751086,0.4741037361641041,10701000,220.1037
35,North Dakota,38,99741,1472,1137,0.5866314863676341,0.7642919964819701,770026,11.1596
36,Ohio,39,964380,17185,22360,0.4738819320214669,0.5177549194991056,11714600,286.6939
37,Oklahoma,40,423023,4320,8343,0.3745655040153422,0.2972551839865756,3990440,58.1739
38,Oregon,41,154902,2216,4228,0.45837275307473985,0.5439924314096499,4289440,44.6873
39,Pennsylvania,42,931099,23979,35521,0.5341910419188649,0.7017257397032741,12804100,286.1699
40,Rhode Island,44,125622,2502,4880,0.5198770491803278,0.5606557377049181,3194370,923.4952
41,South Carolina,45,513295,8477,17585,0.45044071651976114,0.44748365083878305,1061510,1026.6054
42,South Dakota,46,112107,1879,2240,0.5227678571428571,0.5870535714285714,5277830,175.5707
43,Tennessee,47,759124,11284,16465,0.5181293653203766,0.522563012450653,896581,11.8265
44,Texas,48,2644221,43633,77816,0.36047856481957435,0.3315770535622494,6944260,168.4069
45,Utah,49,370140,1907,7410,0.4445344129554656,0.3950067476383266,29730300,113.808
46,Vermont,50,14963,204,1660,0.463855421686747,0.6656626506024096,3310770,40.2917
47,Virginia,51,572639,8197,19575,0.5092209450830141,0.5047254150702427,623251,67.6197
48,Washington,53,341941,5024,9478,0.5505380882042625,0.6083561932897236,8603980,217.8774
49,West Virginia,54,131234,2291,3608,0.6236141906873615,0.7366962305986696,7796940,117.3248
50,Wisconsin,55,616029,7004,8479,0.48661398749852575,0.5330817313362425,1767860,73.5444
51,Wyoming,56,54350,671,813,0.5141451414514145,0.5719557195571956,5852490,108.0633
54,Puerto Rico,72,133475,2023,2707,0.490579977835242,0.639083856667898,581075,5.9847
