,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,Average Case number per day,pop,density
40,Rhode Island,44,139173,2629,5058,0.470541716,0.544483986,4/5/2021,393.4285714,3194370,923.4952
41,South Carolina,45,556469,9203,15487,0.50784529,0.413314393,4/5/2021,914.4285714,1061510,1026.6054
42,South Dakota,46,118517,1938,2376,0.574074074,0.497053872,4/5/2021,168.7142857,5277830,175.5707
43,Tennessee,47,803028,11828,17061,0.458648379,0.465388899,4/5/2021,1134.285714,896581,11.8265
44,Texas,48,2807528,48881,58490,0.480834331,0.359907677,4/5/2021,3007.285714,6944260,168.4069
45,Utah,49,387574,2133,6681,0.444394552,0.412962131,4/5/2021,394.1428571,29730300,113.808
46,Vermont,50,20267,229,1640,0.709146341,0.771341463,4/5/2021,180.7142857,3310770,40.2917
47,Virginia,51,626171,10360,19377,0.543943851,0.498632399,4/5/2021,1380.285714,623251,67.6197
48,Washington,53,372631,5338,10242,0.61530951,0.742237844,4/5/2021,1086,8603980,217.8774
49,West Virginia,54,143733,2696,4475,0.645586592,0.61273743,4/5/2021,391.7142857,7796940,117.3248
50,Wisconsin,55,639765,7342,8152,0.572620216,0.625981354,4/5/2021,729,1767860,73.5444
51,Wyoming,56,56529,700,827,0.556227328,0.409915357,4/5/2021,48.42857143,5852490,108.0633
52,Puerto Rico,72,143637,2136,2806,0.781183179,1.100142552,4/5/2021,441,581075,5.9847
1,Alabama,1,516809,10637,11641,0.251782493,0.207714114,4/4/2021,312.8571429,4934190,97.427
2,Alaska,2,62987,299,1813,0.585217871,0.685603971,4/4/2021,177.5714286,724357,1.2694
3,Arizona,4,844302,16994,9799,0.37095622,0.450454128,4/4/2021,543,7520100,66.2016
4,Arkansas,5,331054,5643,3837,0.332030232,0.293197811,4/4/2021,149.4285714,3033950,58.3059
5,California,6,3679837,59699,42936,0.426704863,0.439351593,4/4/2021,2257.857143,39613500,254.2929
6,Colorado,8,470757,6190,15001,0.539964002,0.66195587,4/4/2021,1255.428571,5893630,56.8653
7,Connecticut,9,313956,7904,11361,0.749845964,0.7698266,4/4/2021,788.1428571,3552820,733.7505
8,Delaware,10,96376,1566,3933,0.451309433,0.588354945,4/4/2021,282,990334,508.1242
9,District of Columbia,11,45037,1070,1810,0.522651934,0.476243094,4/4/2021,112.7142857,714153,11707.4262
10,Florida,12,2081818,33673,63354,0.562805821,0.596978881,4/4/2021,4921,21944600,409.2233
11,Georgia,13,1040572,18625,22130,0.475146859,0.437098961,4/4/2021,1218.142857,10830000,188.3053
12,Hawaii,15,30338,464,1013,0.685093781,0.799605133,4/4/2021,101.7142857,1406430,218.9678
13,Idaho,16,181309,1969,4490,0.44766147,0.400445434,4/4/2021,201.7142857,1860120,22.5079
14,Illinois,17,1260001,23654,23476,0.679459874,0.80141421,4/4/2021,2404.285714,12569300,226.3964
15,Indiana,18,694204,13074,10688,0.572230539,0.645583832,4/4/2021,883.8571429,6805660,189.9643
16,Iowa,19,353362,5822,6113,0.642728611,0.596761001,4/4/2021,449,3167970,56.7157
17,Kansas,20,305137,4932,3323,0.44748721,0.429431237,4/4/2021,142,2917220,35.6807
18,Kentucky,21,432344,6210,10072,0.411735504,0.389694202,4/4/2021,501.2857143,4480710,113.4759
19,Louisiana,22,445469,10161,5952,0.559811828,0.403225806,4/4/2021,223.4285714,4627000,107.0966
20,Maine,23,51763,745,2670,0.519101124,0.716479401,4/4/2021,247.5714286,1354520,43.9166
21,Maryland,24,417514,8350,12707,0.631226883,0.730699614,4/4/2021,1179.142857,6065440,624.8522
22,Massachusetts,25,643232,17281,23312,0.637568634,0.587723061,4/4/2021,1743,6912240,886.1846
23,Michigan,26,768341,17249,35103,0.918383044,1.282426003,4/4/2021,5102.857143,9992430,176.7352
24,Minnesota,27,526345,6953,15213,0.647078157,0.736804049,4/4/2021,1379.857143,5706400,71.6641
25,Mississippi,28,306088,7055,5256,0.33847032,0.280060883,4/4/2021,199,2966410,63.2187
26,Missouri,29,587608,8988,58236,0.084020194,0.070025414,4/4/2021,525,6169040,89.7419
27,Montana,30,105150,1466,2143,0.500699953,0.450769949,4/4/2021,122.4285714,1085000,7.4547
28,Nebraska,31,211966,2287,3488,0.594896789,0.888474771,4/4/2021,400.1428571,1952000,25.4087
29,Nevada,32,305191,5274,4922,0.385209265,0.426249492,4/4/2021,269.4285714,3185790,29.0195
30,New Hampshire,33,85846,1249,3682,0.674633351,0.765616513,4/4/2021,358,1372200,153.2671
31,New Jersey,34,927195,24637,53277,0.577434916,0.573324324,4/4/2021,3846.285714,8874520,1206.7609
32,New Mexico,35,192152,3951,2809,0.468850125,0.393022428,4/4/2021,131.7142857,2105000,17.354
33,New York,36,1904141,50124,88118,0.750856806,0.623606982,4/4/2021,6568.428571,19300000,409.5404
34,North Carolina,37,922008,12161,23777,0.451739076,0.460444968,4/4/2021,824.2857143,10701000,220.1037
35,North Dakota,38,103670,1498,1261,0.739888977,0.836637589,4/4/2021,142.7142857,770026,11.1596
36,Ohio,39,1024011,18643,21280,0.557847744,0.58218985,4/4/2021,1556,11714600,286.6939
37,Oklahoma,40,439149,4953,5494,0.451401529,0.396432472,4/4/2021,185.1428571,3990440,58.1739
38,Oregon,41,166882,2407,4182,0.578670493,0.700621712,4/4/2021,375.1428571,4289440,44.6873
39,Pennsylvania,42,1046714,25250,37982,0.66636828,0.789874151,4/4/2021,3732.857143,12804100,286.1699
40,Rhode Island,44,138255,2630,4918,0.556323709,0.504270028,4/4/2021,262.2857143,3194370,923.4952
41,South Carolina,45,555274,9196,15717,0.484634472,0.386524146,4/4/2021,743.7142857,1061510,1026.6054
42,South Dakota,46,118361,1938,2278,0.604477612,0.490342406,4/4/2021,146.4285714,5277830,175.5707
43,Tennessee,47,799463,11809,15106,0.565603072,0.440354826,4/4/2021,625,896581,11.8265
44,Texas,48,2802562,48851,59065,0.457682215,0.348785237,4/4/2021,2297.857143,6944260,168.4069
45,Utah,49,387401,2132,6781,0.432679546,0.409969031,4/4/2021,369.4285714,29730300,113.808
46,Vermont,50,20149,229,1657,0.651780326,0.802051901,4/4/2021,163.8571429,3310770,40.2917
47,Virginia,51,625148,10329,19208,0.544460641,0.509266972,4/4/2021,1234.142857,623251,67.6197
48,Washington,53,370409,5326,10029,0.622095922,0.67304816,4/4/2021,768.5714286,8603980,217.8774
49,West Virginia,54,143456,2695,4381,0.636156129,0.648938598,4/4/2021,352.1428571,7796940,117.3248
50,Wisconsin,55,639414,7341,7952,0.592429577,0.640970825,4/4/2021,678.8571429,1767860,73.5444
51,Wyoming,56,56447,700,817,0.569155447,0.490820073,4/4/2021,36.71428571,5852490,108.0633
52,Puerto Rico,72,143448,2131,2699,0.730640978,1.239347907,4/4/2021,414,581075,5.9847
1,Alabama,1,516615,10637,11676,0.255652621,0.217797191,4/3/2021,285.1428571,4934190,97.427
2,Alaska,2,62987,299,1813,0.585217871,0.685603971,4/3/2021,177.5714286,724357,1.2694
3,Arizona,4,843838,16991,10646,0.335243284,0.423069698,4/3/2021,476.7142857,7520100,66.2016
4,Arkansas,5,330970,5641,3894,0.337185413,0.285053929,4/3/2021,137.4285714,3033950,58.3059
5,California,6,3678212,59648,43742,0.41378995,0.443692561,4/3/2021,2025.714286,39613500,254.2929
6,Colorado,8,469052,6187,14524,0.546681355,0.615395208,4/3/2021,1011.857143,5893630,56.8653
7,Connecticut,9,313956,7904,11361,0.749845964,0.7698266,4/3/2021,788.1428571,3552820,733.7505
8,Delaware,10,96077,1565,3803,0.462529582,0.624769918,4/3/2021,239.2857143,990334,508.1242
9,District of Columbia,11,44932,1070,1902,0.460567823,0.463196635,4/3/2021,97.71428571,714153,11707.4262
10,Florida,12,2077024,33651,63465,0.546758056,0.598282518,4/3/2021,4236.142857,21944600,409.2233
11,Georgia,13,1039632,18623,22208,0.503106988,0.433852666,4/3/2021,1083.857143,10830000,188.3053
12,Hawaii,15,30246,464,989,0.670374115,0.829120324,4/3/2021,88.57142857,1406430,218.9678
13,Idaho,16,181309,1969,4490,0.44766147,0.400445434,4/3/2021,201.7142857,1860120,22.5079
14,Illinois,17,1257605,23635,23164,0.653082369,0.802667933,4/3/2021,2062,12569300,226.3964
15,Indiana,18,693258,13074,10666,0.556909807,0.64672792,4/3/2021,748.7142857,6805660,189.9643
16,Iowa,19,353207,5822,6133,0.637534649,0.595630197,4/3/2021,426.8571429,3167970,56.7157
17,Kansas,20,305137,4932,3323,0.44748721,0.429431237,4/3/2021,142,2917220,35.6807
18,Kentucky,21,432287,6210,10305,0.399611839,0.405628336,4/3/2021,493.1428571,4480710,113.4759
19,Louisiana,22,445469,10161,6692,0.49790795,0.358637179,4/3/2021,223.4285714,4627000,107.0966
20,Maine,23,51468,745,2657,0.51223184,0.683101242,4/3/2021,205.4285714,1354520,43.9166
21,Maryland,24,415845,8342,12409,0.61995326,0.721331292,4/3/2021,940.7142857,6065440,624.8522
22,Massachusetts,25,643232,17281,22926,0.641149786,0.683765157,4/3/2021,1743,6912240,886.1846
23,Michigan,26,768303,17249,35005,0.922125411,1.288244536,4/3/2021,5097.428571,9992430,176.7352
24,Minnesota,27,526345,6953,15157,0.631391436,0.820347034,4/3/2021,1379.857143,5706400,71.6641
25,Mississippi,28,305991,7055,5356,0.325429425,0.293315907,4/3/2021,185.1428571,2966410,63.2187
26,Missouri,29,587144,8988,58149,0.084850986,0.067928941,4/3/2021,458.7142857,6169040,89.7419
27,Montana,30,105092,1465,2117,0.527633444,0.440717997,4/3/2021,114.1428571,1085000,7.4547
28,Nebraska,31,211731,2287,3601,0.561510691,0.839766731,4/3/2021,366.5714286,1952000,25.4087
29,Nevada,32,304931,5274,4932,0.401257097,0.401459854,4/3/2021,232.2857143,3185790,29.0195
30,New Hampshire,33,85448,1247,3621,0.670809169,0.746478873,4/3/2021,301.1428571,1372200,153.2671
31,New Jersey,34,923394,24632,52559,0.561216918,0.594550886,4/3/2021,3303.285714,8874520,1206.7609
32,New Mexico,35,192152,3951,2818,0.470901348,0.448899929,4/3/2021,131.7142857,2105000,17.354
33,New York,36,1896534,50042,92041,0.663258765,0.610553992,4/3/2021,5481.714286,19300000,409.5404
34,North Carolina,37,921917,12161,23777,0.451739076,0.45661774,4/3/2021,811.2857143,10701000,220.1037
35,North Dakota,38,103609,1498,1246,0.750401284,0.835473515,4/3/2021,134,770026,11.1596
36,Ohio,39,1024011,18643,21081,0.558986765,0.636022959,4/3/2021,1556,11714600,286.6939
