,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
87,North Dakota,38,96592,1428,1528,0.246073298,0.44960733,770026,11.1596
88,Ohio,39,853982,10599,60548,0.333817797,0.246961089,11714600,286.6939
89,Oklahoma,40,365992,3187,33735,0.328768341,0.193478583,3990440,58.1739
90,Oregon,41,136839,1874,9298,0.369864487,0.281135728,4289440,44.6873
91,Pennsylvania,42,799948,20322,67554,0.382760458,0.302957634,12804100,286.1699
92,Rhode Island,44,109735,2083,8156,0.359244728,0.2849436,3194370,923.4952
93,South Carolina,45,409188,6404,50786,0.397412673,0.350096483,1061510,1026.6054
94,South Dakota,46,106716,1684,2228,0.50448833,0.426391382,5277830,175.5707
95,Tennessee,47,688782,8695,35967,0.423916368,0.264575861,896581,11.8265
96,Texas,48,2228301,34496,250443,0.309643312,0.127769592,6944260,168.4069
97,Utah,49,333118,1571,19371,0.369211708,0.292860462,29730300,113.808
98,Vermont,50,10759,169,1853,0.433351322,0.451160281,3310770,40.2917
99,Virginia,51,463751,6002,57716,0.394032851,0.272385474,623251,67.6197
100,Washington,53,302546,4178,20788,0.341206465,0.276938618,8603980,217.8774
101,West Virginia,54,113615,1856,10026,0.323758229,0.216237782,7796940,117.3248
102,Wisconsin,55,577991,6140,20911,0.329156903,0.248146908,1767860,73.5444
103,Wyoming,56,50583,571,1993,0.255895635,0.299548419,5852490,108.0633
104,Puerto Rico,72,122897,1761,5782,0.321687997,0.294015911,581075,5.9847
105,Alabama,1,436087,6486,33232,0.281295137,0.196948724,4934190,97.427
106,Alaska,2,52572,245,2308,0.488734835,0.420710572,724357,1.2694
107,Arizona,4,710273,12014,66765,0.25741032,0.161956115,7520100,66.2016
108,Arkansas,5,281382,4549,23341,0.294974508,0.133027719,3033950,58.3059
109,California,6,3141303,36326,254379,0.293341825,0.200205206,39613500,254.2929
110,Colorado,8,385153,5548,20047,0.447498379,0.356961141,5893630,56.8653
111,Connecticut,9,237815,6819,21557,0.36948555,0.267384144,3552820,733.7505
112,Delaware,10,73233,1027,6313,0.430381752,0.303817519,990334,508.1242
113,District of Columbia,11,34905,867,2729,0.379626237,0.289849762,714153,11707.4262
114,Florida,12,1627595,25010,136270,0.370947384,0.308248331,21944600,409.2233
115,Georgia,13,829023,12653,80147,0.320710694,0.26014698,10830000,188.3053
116,Hawaii,15,24823,329,1398,0.32260372,0.207439199,1406430,218.9678
117,Idaho,16,159000,1669,6058,0.378342687,0.28623308,1860120,22.5079
118,Illinois,17,1095917,20535,48044,0.358941803,0.264153692,12569300,226.3964
119,Indiana,18,608498,9642,29816,0.37885699,0.228836866,6805660,189.9643
120,Iowa,19,311695,4478,12102,0.393984465,0.262931747,3167970,56.7157
121,Kansas,20,269611,3598,14943,0.311584019,0.311784782,2917220,35.6807
122,Kentucky,21,344565,3626,33711,0.366586574,0.238230845,4480710,113.4759
123,Louisiana,22,380255,8483,29606,0.294669999,0.125042221,4627000,107.0966
124,Maine,23,36274,540,4525,0.322651934,0.213259669,1354520,43.9166
125,Maryland,24,337129,6792,23633,0.355181314,0.253882283,6065440,624.8522
126,Massachusetts,25,491452,13987,45756,0.362881371,0.261867296,6912240,886.1846
127,Michigan,26,593726,14940,25403,0.332165492,0.306341771,9992430,176.7352
128,Minnesota,27,452336,6100,13956,0.403195758,0.389509888,5706400,71.6641
129,Mississippi,28,261167,5713,18575,0.31795424,0.228479139,2966410,63.2187
130,Missouri,29,478517,6932,22537,0.290677552,0.207081688,6169040,89.7419
131,Montana,30,91145,1106,4394,0.36868457,0.297223487,1085000,7.4547
132,Nebraska,31,187496,1960,6593,0.383285303,0.353860155,1952000,25.4087
133,Nevada,32,268357,3967,14356,0.305865143,0.230426303,3185790,29.0195
134,New Hampshire,33,60951,971,6644,0.37281758,0.405629139,1372200,153.2671
135,New Jersey,34,650388,20875,62936,0.424844286,0.340568196,8874520,1206.7609
136,New Mexico,35,167731,3079,9062,0.323438535,0.25667623,2105000,17.354
137,New York,36,1309660,41530,149406,0.428202348,0.364188855,19300000,409.5404
138,North Carolina,37,708931,8511,82526,0.336681773,0.267661101,10701000,220.1037
139,North Dakota,38,96592,1428,1528,0.246073298,0.44960733,770026,11.1596
140,Ohio,39,853982,10599,60548,0.333817797,0.246961089,11714600,286.6939
141,Oklahoma,40,365992,3187,33735,0.328768341,0.193478583,3990440,58.1739
142,Oregon,41,136839,1874,9298,0.369864487,0.281135728,4289440,44.6873
143,Pennsylvania,42,799948,20322,67554,0.382760458,0.302957634,12804100,286.1699
144,Rhode Island,44,109735,2083,8156,0.359244728,0.2849436,3194370,923.4952
145,South Carolina,45,409188,6404,50786,0.397412673,0.350096483,1061510,1026.6054
146,South Dakota,46,106716,1684,2228,0.50448833,0.426391382,5277830,175.5707
147,Tennessee,47,688782,8695,35967,0.423916368,0.264575861,896581,11.8265
148,Texas,48,2228301,34496,250443,0.309643312,0.127769592,6944260,168.4069
149,Utah,49,333118,1571,19371,0.369211708,0.292860462,29730300,113.808
150,Vermont,50,10759,169,1853,0.433351322,0.451160281,3310770,40.2917
151,Virginia,51,463751,6002,57716,0.394032851,0.272385474,623251,67.6197
152,Washington,53,302546,4178,20788,0.341206465,0.276938618,8603980,217.8774
153,West Virginia,54,113615,1856,10026,0.323758229,0.216237782,7796940,117.3248
154,Wisconsin,55,577991,6140,20911,0.329156903,0.248146908,1767860,73.5444
155,Wyoming,56,50583,571,1993,0.255895635,0.299548419,5852490,108.0633
156,Puerto Rico,72,122897,1761,5782,0.321687997,0.294015911,581075,5.9847
157,Alabama,1,369458,4872,51223,0.36626125,0.315092829,4934190,97.427
158,Alaska,2,47549,207,3798,0.387835703,0.271458662,724357,1.2694
159,Arizona,4,539162,9061,131072,0.361320496,0.293228149,7520100,66.2016
160,Arkansas,5,231442,3729,38736,0.330880834,0.29409335,3033950,58.3059
161,California,6,2397923,26542,577396,0.327274522,0.252358866,39613500,254.2929
162,Colorado,8,340454,4976,35009,0.313319432,0.276728841,5893630,56.8653
163,Connecticut,9,190120,6099,33302,0.432196264,0.36658459,3552820,733.7505
164,Delaware,10,58873,930,10499,0.432707877,0.346318697,990334,508.1242
165,District of Columbia,11,29509,792,4028,0.382323734,0.393495531,714153,11707.4262
166,Florida,12,1354825,21889,205353,0.388248528,0.358772455,21944600,409.2233
167,Georgia,13,662077,10612,122971,0.431069114,0.355230095,10830000,188.3053
168,Hawaii,15,21895,287,2293,0.332315744,0.330571304,1406430,218.9678
169,Idaho,16,142290,1451,13067,0.309864544,0.256830183,1860120,22.5079
170,Illinois,17,977677,18217,89553,0.377508291,0.283753755,12569300,226.3964
171,Indiana,18,526065,8410,64028,0.335899919,0.257215593,6805660,189.9643
172,Iowa,19,283895,3946,20853,0.377739414,0.310986429,3167970,56.7157
173,Kansas,20,230352,2879,28874,0.359666136,0.277481471,2917220,35.6807
174,Kentucky,21,275803,2999,51735,0.396288779,0.328133759,4480710,113.4759
175,Louisiana,22,315275,7488,49578,0.310661987,0.343317601,4627000,107.0966
176,Maine,23,25245,358,7974,0.423752195,0.322297467,1354520,43.9166
177,Maryland,24,283339,5967,40864,0.373898786,0.328406421,6065440,624.8522
178,Massachusetts,25,384181,12502,81545,0.37239561,0.309853455,6912240,886.1846
179,Michigan,26,535815,13296,44481,0.337762191,0.297025696,9992430,176.7352
180,Minnesota,27,417891,5436,27224,0.321811637,0.25753012,5706400,71.6641
181,Mississippi,28,220277,4840,30592,0.39729341,0.365030073,2966410,63.2187
182,Missouri,29,423894,5910,42935,0.311028299,0.290718528,6169040,89.7419
183,Montana,30,81991,971,7065,0.338570418,0.331917905,1085000,7.4547
184,Nebraska,31,169330,1708,12565,0.483804218,0.286112216,1952000,25.4087
185,Nevada,32,229601,3158,30621,0.316972013,0.249240717,3185790,29.0195
186,New Hampshire,33,45184,769,10761,0.523278506,0.351826038,1372200,153.2671
187,New Jersey,34,490393,19187,131692,0.269196307,0.265824803,8874520,1206.7609
188,New Mexico,35,145379,2536,17514,0.324654562,0.28320201,2105000,17.354
189,New York,36,1011922,37854,217202,0.434825646,0.393117927,19300000,409.5404
190,North Carolina,37,559942,6933,109342,0.420689214,0.318578405,10701000,220.1037
191,North Dakota,38,92898,1317,2838,0.355532065,0.296687808,770026,11.1596
192,Ohio,39,714673,9017,106834,0.358818354,0.308328809,11714600,286.6939
193,Oklahoma,40,296055,2527,55610,0.332386261,0.295648265,3990440,58.1739
194,Oregon,41,116348,1503,16064,0.322958167,0.299863048,4289440,44.6873
195,Pennsylvania,42,661731,16270,105343,0.362605963,0.37256391,12804100,286.1699
196,Rhode Island,44,87949,1777,16494,0.320843943,0.285133988,3194370,923.4952
197,South Carolina,45,312718,5385,69704,0.450002869,0.372948468,1061510,1026.6054
