,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
198,South Dakota,46,99829,1501,5449,0.309231052,0.203156542,5277830,175.5707
199,Tennessee,47,589406,6908,78736,0.303622231,0.23750254,896581,11.8265
200,Texas,48,1793858,28508,321000,0.39653271,0.375925234,6944260,168.4069
201,Utah,49,281747,1294,40505,0.311986175,0.260239477,29730300,113.808
202,Vermont,50,7689,139,2226,0.446091644,0.414645103,3310770,40.2917
203,Virginia,51,358755,5117,70636,0.555863865,0.475196784,623251,67.6197
204,Washington,53,253290,3524,37606,0.351300324,0.301574217,8603980,217.8774
205,West Virginia,54,89327,1373,18797,0.352609459,0.297281481,7796940,117.3248
206,Wisconsin,55,523652,5259,42623,0.322079628,0.257935856,1767860,73.5444
207,Wyoming,56,44573,438,4495,0.337041157,0.249388209,5852490,108.0633
208,Puerto Rico,72,111547,1526,8591,0.41322314,0.387964149,581075,5.9847
209,Alabama,1,260359,3776,49976,0.569593405,0.448715383,4934190,97.427
210,Alaska,2,34377,124,8262,0.270757686,0.225611232,724357,1.2694
211,Arizona,4,348134,6834,90380,0.497764992,0.446193848,7520100,66.2016
212,Arkansas,5,164310,2555,30233,0.549135051,0.46283862,3033950,58.3059
213,California,6,1293887,19586,467454,0.613061392,0.555883574,39613500,254.2929
214,Colorado,8,248779,3335,53307,0.34944754,0.278856435,5893630,56.8653
215,Connecticut,9,126177,5111,33925,0.372616065,0.382166544,3552820,733.7505
216,Delaware,10,37456,779,11312,0.375442008,0.392591938,990334,508.1242
217,District of Columbia,11,22164,692,3666,0.438079651,0.421985816,714153,11707.4262
218,Florida,12,1029022,18873,139453,0.566950872,0.543330011,21944600,409.2233
219,Georgia,13,469955,9377,78691,0.624048493,0.588529819,10830000,188.3053
220,Hawaii,15,18256,244,1525,0.607213115,0.493114754,1406430,218.9678
221,Idaho,16,106882,1023,20342,0.401091338,0.295202045,1860120,22.5079
222,Illinois,17,761209,13650,120020,0.381086486,0.323887685,12569300,226.3964
223,Indiana,18,362182,6033,87892,0.405122195,0.327379056,6805660,189.9643
224,Iowa,19,238722,2603,23488,0.487525545,0.342770777,3167970,56.7157
225,Kansas,20,165613,1679,32576,0.453493369,0.383503193,2917220,35.6807
226,Kentucky,21,194851,2185,42309,0.3847172,0.363776029,4480710,113.4759
227,Louisiana,22,244078,6524,35243,0.487415941,0.532758278,4627000,107.0966
228,Maine,23,12554,220,5347,0.621844025,0.556386759,1354520,43.9166
229,Maryland,24,205716,4764,38531,0.434637045,0.411097558,6065440,624.8522
230,Massachusetts,25,240907,10874,68340,0.478167984,0.486581797,6912240,886.1846
231,Michigan,26,410379,10031,76452,0.277272014,0.250745566,9992430,176.7352
232,Minnesota,27,333685,3843,55545,0.274228103,0.196219282,5706400,71.6641
233,Mississippi,28,159036,3879,28868,0.510842455,0.455868089,2966410,63.2187
234,Missouri,29,325519,4274,52495,0.409829508,0.364015621,6169040,89.7419
235,Montana,30,65242,723,10303,0.341745123,0.255750752,1085000,7.4547
236,Nebraska,31,135123,1180,19302,0.358149415,0.33452492,1952000,25.4087
237,Nevada,32,160317,2259,36742,0.424663872,0.340645583,3185790,29.0195
238,New Hampshire,33,22925,544,11339,0.409030779,0.452068084,1372200,153.2671
239,New Jersey,34,352835,17209,68403,0.446603219,0.40340336,8874520,1206.7609
240,New Mexico,35,102873,1673,23172,0.393621612,0.333635422,2105000,17.354
241,New York,36,678869,34346,140558,0.546500377,0.589066435,19300000,409.5404
242,North Carolina,37,378370,5454,80369,0.488571464,0.535840934,10701000,220.1037
243,North Dakota,38,81111,983,7958,0.23699422,0.194395577,770026,11.1596
244,Ohio,39,446859,6753,149319,0.384894086,0.312954145,11714600,286.6939
245,Oklahoma,40,204048,1836,44156,0.551431289,0.416319413,3990440,58.1739
246,Oregon,41,79294,974,19643,0.401415262,0.361808278,4289440,44.6873
247,Pennsylvania,42,392610,11008,142621,0.426942736,0.350144789,12804100,286.1699
248,Rhode Island,44,60722,1400,16568,0.288266538,0.355082086,3194370,923.4952
249,South Carolina,45,223063,4466,39711,0.560398882,0.566064818,1061510,1026.6054
250,South Dakota,46,83348,1033,9849,0.340034521,0.265813788,5277830,175.5707
251,Tennessee,47,379679,4727,100546,0.518668072,0.399856782,896581,11.8265
252,Texas,48,1311988,22645,240561,0.450854461,0.462069912,6944260,168.4069
253,Utah,49,206255,918,37663,0.442636009,0.425430794,29730300,113.808
254,Vermont,50,4642,75,1507,0.419376244,0.418712674,3310770,40.2917
255,Virginia,51,244503,4147,51590,0.53929056,0.497557666,623251,67.6197
256,Washington,53,180125,3040,40503,0.410858455,0.340592055,8603980,217.8774
257,West Virginia,54,51025,789,17460,0.50137457,0.463631157,7796940,117.3248
258,Wisconsin,55,426534,3781,55909,0.38031444,0.299272031,1767860,73.5444
259,Wyoming,56,35078,257,5515,0.375521306,0.316409791,5852490,108.0633
260,Puerto Rico,72,87720,1155,10646,0.568946083,0.515029119,581075,5.9847
1,Alabama,1,130393,2266,12470,0.625100241,0.48436247,4934190,97.427
2,Alaska,2,6416,37,1112,0.544064748,0.747302158,724357,1.2694
3,Arizona,4,204686,5174,8977,0.301214214,0.379971037,7520100,66.2016
4,Arkansas,5,64678,873,9404,0.623564441,0.620267971,3033950,58.3059
5,California,6,732691,13644,48745,0.498451123,0.464273259,39613500,254.2929
6,Colorado,8,59021,1973,5256,0.804604262,0.751141553,5893630,56.8653
7,Connecticut,9,53365,4468,2162,0.490286772,0.79093432,3552820,733.7505
8,Delaware,10,17752,606,1614,0.445477076,0.527881041,990334,508.1242
9,District of Columbia,11,14186,611,666,0.466966967,0.39039039,714153,11707.4262
10,Florida,12,640203,11749,37449,0.486715266,0.425031376,21944600,409.2233
11,Georgia,13,263047,5797,23123,0.42896683,0.359685162,10830000,188.3053
12,Hawaii,15,9448,80,1900,0.363684211,0.376315789,1406430,218.9678
13,Idaho,16,33628,386,3730,0.769436997,0.884718499,1860120,22.5079
14,Illinois,17,248253,8386,25343,0.54370043,0.55893146,12569300,226.3964
15,Indiana,18,100011,3350,11889,0.484145008,0.614265287,6805660,189.9643
16,Iowa,19,68757,1158,10082,0.614163856,0.63995239,3167970,56.7157
17,Kansas,20,46049,481,7354,0.604976883,0.621702475,2917220,35.6807
18,Kentucky,21,55500,1028,8655,0.57712305,0.625765453,4480710,113.4759
19,Louisiana,22,152369,5035,8953,0.427789568,0.410365241,4627000,107.0966
20,Maine,23,4632,134,373,0.616621984,0.624664879,1354520,43.9166
21,Maryland,24,111332,3789,8227,0.40002431,0.469308375,6065440,624.8522
22,Massachusetts,25,121758,9100,4824,0.600953566,0.860281924,6912240,886.1846
23,Michigan,26,116470,6802,11088,0.530753968,0.596500722,9992430,176.7352
24,Minnesota,27,79018,1899,8841,0.721864043,0.811899106,5706400,71.6641
25,Mississippi,28,85939,2558,6493,0.554443247,0.543046358,2966410,63.2187
26,Missouri,29,91994,1698,20553,0.53505571,0.495353476,6169040,89.7419
27,Montana,30,8046,114,1888,0.912076271,1.264830508,1085000,7.4547
28,Nebraska,31,35661,411,4726,0.587177317,0.807236564,1952000,25.4087
29,Nevada,32,70783,1376,4370,0.635469108,0.767734554,3185790,29.0195
30,New Hampshire,33,7368,432,493,0.454361055,0.910750507,1372200,153.2671
31,New Jersey,34,195205,15978,5434,0.598454177,0.832719912,8874520,1206.7609
32,New Mexico,35,25902,794,1448,0.785220994,1.044889503,2105000,17.354
33,New York,36,442698,32573,10066,0.566461355,0.783528711,19300000,409.5404
34,North Carolina,37,174848,2868,16824,0.771873514,0.616797432,10701000,220.1037
35,North Dakota,38,12977,154,4256,0.623825188,0.660009398,770026,11.1596
36,Ohio,39,128444,4248,14152,0.445025438,0.559284907,11714600,286.6939
37,Oklahoma,40,62040,846,12527,0.634868684,0.561906282,3990440,58.1739
38,Oregon,41,27605,481,2746,0.7199563,0.674435543,4289440,44.6873
39,Pennsylvania,42,142537,7821,11023,0.498140252,0.654903384,12804100,286.1699
40,Rhode Island,44,22243,1055,1377,0.407407407,0.649963689,3194370,923.4952
41,South Carolina,45,123325,2846,12993,0.583698915,0.406603556,1061510,1026.6054
42,South Dakota,46,14596,170,3479,0.712561081,0.853118712,5277830,175.5707
43,Tennessee,47,158120,1813,19587,0.462653801,0.454944606,896581,11.8265
44,Texas,48,658789,13516,54863,0.874760768,0.589067313,6944260,168.4069
45,Utah,49,53940,420,7846,0.86043844,0.846036197,29730300,113.808
46,Vermont,50,1642,58,64,0.390625,0.578125,3310770,40.2917
47,Virginia,51,124779,2662,13923,0.411621059,0.377361201,623251,67.6197
48,Washington,53,79721,2042,5862,0.608324804,0.610371887,8603980,217.8774
49,West Virginia,54,11037,243,2646,0.479969766,0.511715797,7796940,117.3248
50,Wisconsin,55,84519,1164,18692,0.756687353,0.943772737,1767860,73.5444
51,Wyoming,56,3989,42,758,0.887862797,1.047493404,5852490,108.0633
54,Puerto Rico,72,34241,455,5443,0.959213669,0.889582951,581075,5.9847
