,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,pop,density
47,Virginia,51,616509,10219,18691,0.5405810283023915,0.5639077630945375,2021-03-29,623251,67.6197
48,Washington,53,365029,5296,9621,0.5595052489346222,0.655025465128365,2021-03-29,8603980,217.8774
49,West Virginia,54,140991,2638,3630,0.6677685950413224,0.7958677685950413,2021-03-29,7796940,117.3248
50,Wisconsin,55,634662,7278,8188,0.5014655593551539,0.5701025891548608,2021-03-29,1767860,73.5444
51,Wyoming,56,56190,695,856,0.47079439252336447,0.5373831775700935,2021-03-29,5852490,108.0633
52,Puerto Rico,72,140550,2112,2627,0.5831747240197944,0.8344118766653978,2021-03-29,581075,5.9847
1,Alabama,01,511779,10436,12572,0.6472319440025454,0.28237352847597835,2021-03-22,4934190,97.427
2,Alaska,02,61034,296,1894,0.5089757127771911,0.45406546990496305,2021-03-22,724357,1.2694
3,Arizona,04,836737,16745,17338,0.3549428999884646,0.1929865036336371,2021-03-22,7520100,66.2016
4,Arkansas,05,328707,5544,9192,0.22943864229765012,0.179177545691906,2021-03-22,3033950,58.3059
5,California,06,3645558,57744,66977,0.33460740254117083,0.2874718186840259,2021-03-22,39613500,254.2929
6,Colorado,08,453045,6149,15512,0.4653171738009283,0.40085095410005156,2021-03-22,5893630,56.8653
7,Connecticut,09,299667,7841,12062,0.4730558779638534,0.5442712651301609,2021-03-22,3552820,733.7505
8,Delaware,10,92429,1531,3473,0.5905557155197236,0.522602936942125,2021-03-22,990334,508.1242
9,District of Columbia,11,43383,1050,1824,0.5723684210526315,0.4166666666666667,2021-03-22,714153,11707.4262
10,Florida,12,2011203,32778,75384,0.4155656372705083,0.4188819908733949,2021-03-22,21944600,409.2233
11,Georgia,13,1021299,17990,37245,0.2695395355081219,0.316821049805343,2021-03-22,10830000,188.3053
12,Hawaii,15,28912,451,738,0.6097560975609756,0.8130081300813008,2021-03-22,1406430,218.9678
13,Idaho,16,177929,1949,3800,0.5923684210526315,0.5671052631578948,2021-03-22,1860120,22.5079
14,Illinois,17,1226595,23379,24306,0.4424833374475438,0.5279354891796264,2021-03-22,12569300,226.3964
15,Indiana,18,681699,12947,11428,0.4602730136506825,0.47812390619530976,2021-03-22,6805660,189.9643
16,Iowa,19,346218,5676,7041,0.45093026558727456,0.414003692657293,2021-03-22,3167970,56.7157
17,Kansas,20,302602,4850,4630,0.35226781857451406,0.31706263498920084,2021-03-22,2917220,35.6807
18,Kentucky,21,424716,5847,12971,0.4209390178089584,0.3628093439210547,2021-03-22,4480710,113.4759
19,Louisiana,22,441066,10030,9645,0.33965785381026437,0.3629860031104199,2021-03-22,4627000,107.0966
20,Maine,23,48642,729,2332,0.5458833619210978,0.6187821612349914,2021-03-22,1354520,43.9166
21,Maryland,24,400890,8184,11069,0.5441322612702141,0.6007769446201102,2021-03-22,6065440,624.8522
22,Massachusetts,25,615874,16894,21798,0.5101385448206257,0.5693182860812919,2021-03-22,6912240,886.1846
23,Michigan,26,696800,16904,20373,0.7542826289697148,1.1357679281401856,2021-03-22,9992430,176.7352
24,Minnesota,27,506444,6850,10892,0.7101542416452442,0.7489900844656628,2021-03-22,5706400,71.6641
25,Mississippi,28,302932,6956,6777,0.47661207023756824,0.3026412867050317,2021-03-22,2966410,63.2187
26,Missouri,29,579027,8824,56923,0.07417037050050068,0.07160550216959753,2021-03-22,6169040,89.7419
27,Montana,30,103227,1415,2164,0.444547134935305,0.5415896487985212,2021-03-22,1085000,7.4547
28,Nebraska,31,207124,2244,3927,0.4823020117137764,0.4288260758848994,2021-03-22,1952000,25.4087
29,Nevada,32,301373,5174,5259,0.5818596691386195,0.35044685301388095,2021-03-22,3185790,29.0195
30,New Hampshire,33,80750,1217,3395,0.5163475699558174,0.5705449189985272,2021-03-22,1372200,153.2671
31,New Jersey,34,869037,24181,45807,0.5660706878861309,0.6154299561202436,2021-03-22,8874520,1206.7609
32,New Mexico,35,189893,3894,4017,0.3604680109534478,0.34976350510331095,2021-03-22,2105000,17.354
33,New York,36,1787934,48959,102122,0.47385480112022876,0.38380564422945107,2021-03-22,19300000,409.5404
34,North Carolina,37,903311,11865,29954,0.3815850971489617,0.42071175802897776,2021-03-22,10701000,220.1037
35,North Dakota,38,101732,1492,1107,0.5266485998193315,0.6323396567299007,2021-03-22,770026,11.1596
36,Ohio,39,1001195,18340,24348,0.43592902907836373,0.4458271726630524,2021-03-22,11714600,286.6939
37,Oklahoma,40,435450,4788,9309,0.3900526372327855,0.2854227092061446,2021-03-22,3990440,58.1739
38,Oregon,41,161800,2377,4472,0.5055903398926654,0.43112701252236135,2021-03-22,4289440,44.6873
39,Pennsylvania,42,993622,24839,35312,0.4937415043044857,0.5904508382419574,2021-03-22,12804100,286.1699
40,Rhode Island,44,134039,2604,5001,0.5010997800439912,0.5102979404119176,2021-03-22,3194370,923.4952
41,South Carolina,45,542203,9027,21127,0.3536706583992048,0.37937236711317274,2021-03-22,1061510,1026.6054
42,South Dakota,46,115972,1923,2262,0.46551724137931033,0.5848806366047745,2021-03-22,5277830,175.5707
43,Tennessee,47,787263,11610,17386,0.4926952720579777,0.48861152651558726,2021-03-22,896581,11.8265
44,Texas,48,2758353,47616,92287,0.3520430829911038,0.28174065686391364,2021-03-22,6944260,168.4069
45,Utah,49,381846,2062,8035,0.4347230864965775,0.396764156813939,2021-03-22,29730300,113.808
46,Vermont,50,17839,219,1591,0.4984286612193589,0.5323695788812068,2021-03-22,3310770,40.2917
47,Virginia,51,605969,10129,21322,0.4349029171747491,0.47387674702185534,2021-03-22,623251,67.6197
48,Washington,53,358727,5232,10176,0.47749606918238996,0.5289897798742138,2021-03-22,8603980,217.8774
49,West Virginia,54,138102,2612,3773,0.5435992578849722,0.6424595812350914,2021-03-22,7796940,117.3248
50,Wisconsin,55,629994,7241,9129,0.44320297951582865,0.449775440902618,2021-03-22,1767860,73.5444
51,Wyoming,56,55730,693,1003,0.42273180458624127,0.4017946161515454,2021-03-22,5852490,108.0633
52,Puerto Rico,72,138358,2098,2680,0.4753731343283582,0.5716417910447761,2021-03-22,581075,5.9847
1,Alabama,01,508229,10329,12164,0.5198125616573496,0.6689411377836239,2021-03-15,4934190,97.427
2,Alaska,02,60174,292,2221,0.44169293111211166,0.43403872129671317,2021-03-15,724357,1.2694
3,Arizona,04,833391,16553,19423,0.46177212583020133,0.3168408587756783,2021-03-15,7520100,66.2016
4,Arkansas,05,327060,5481,9161,0.26656478550376594,0.2302150420259797,2021-03-15,3033950,58.3059
5,California,06,3626304,56606,83229,0.3632988501604008,0.26926912494443045,2021-03-15,39613500,254.2929
6,Colorado,08,446827,6121,15281,0.4857666383090112,0.47235128591060793,2021-03-15,5893630,56.8653
7,Connecticut,09,293102,7788,12384,0.3851744186046512,0.46075581395348836,2021-03-15,3552820,733.7505
8,Delaware,10,90614,1511,3841,0.38609737047643844,0.5339755272064567,2021-03-15,990334,508.1242
9,District of Columbia,11,42623,1042,1683,0.5317884729649436,0.6203208556149733,2021-03-15,714153,11707.4262
10,Florida,12,1979626,32347,79933,0.46771671274692556,0.3919157294233921,2021-03-15,21944600,409.2233
11,Georgia,13,1009499,17710,41395,0.37639811571445825,0.24251721222369851,2021-03-15,10830000,188.3053
12,Hawaii,15,28312,448,696,0.521551724137931,0.646551724137931,2021-03-15,1406430,218.9678
13,Idaho,16,175774,1918,4052,0.47013820335636725,0.555528134254689,2021-03-15,1860120,22.5079
14,Illinois,17,1213763,23216,25109,0.4699908399378709,0.42833247042892986,2021-03-15,12569300,226.3964
15,Indiana,18,676235,12864,12586,0.4412045129508978,0.41792467821388846,2021-03-15,6805660,189.9643
16,Iowa,19,343303,5643,7164,0.4519821328866555,0.44318816303740927,2021-03-15,3167970,56.7157
17,Kansas,20,301134,4835,6926,0.29844065838868034,0.23548946000577534,2021-03-15,2917220,35.6807
18,Kentucky,21,420010,5147,15079,0.37774388222030636,0.3620929769878639,2021-03-15,4480710,113.4759
19,Louisiana,22,437565,9903,10110,0.3743818001978239,0.32403560830860534,2021-03-15,4627000,107.0966
20,Maine,23,47199,725,2085,0.5582733812949641,0.6105515587529976,2021-03-15,1354520,43.9166
21,Maryland,24,394240,8055,10999,0.48486226020547324,0.5475952359305392,2021-03-15,6065440,624.8522
22,Massachusetts,25,603464,16673,23193,0.42258440046565776,0.47945500797654467,2021-03-15,6912240,886.1846
23,Michigan,26,673661,16770,17117,0.6384880528129929,0.8977624583747152,2021-03-15,9992430,176.7352
